forearm_MAV,forearm_RMS,forearm_VAR,forearm_ZCR,forearm_MF,upperarm_MAV,upperarm_RMS,upperarm_VAR,upperarm_ZCR,upperarm_MF,joint_angle
1.8403878918744991,1.8306175669662241,-0.5681812777908308,0.0,0.0,-1.841880884544424,-1.8453923783356634,-0.610124311823804,0.0,0.0,180
1.8367899704116482,1.8269035013938963,-0.5776303393978774,0.0,0.0,-1.8424613962592526,-1.846020606447864,-0.6122333715304027,0.0,0.0,180
1.8483234943533131,1.8382265944377596,-0.5945006073969034,0.0,0.0,-1.8395373372512256,-1.8431857909097522,-0.6155751747161674,0.0,0.0,180
1.8449273254958556,1.8348729898429263,-0.5910978903693712,0.0,0.0,-1.8364197743382564,-1.840316618838448,-0.6256415981836374,0.0,0.0,180
1.8310736465921629,1.8207785217957086,-0.6107324593867981,0.0,0.0,-1.8401393493999374,-1.8440914182663029,-0.6285324740458275,0.0,0.0,180
1.8126132831986523,1.8023082044256447,-0.6117272500051857,0.0,0.0,-1.8632308153897952,-1.8669524177110335,-0.622200553490743,0.0,0.0,180
1.8027610309686004,1.7923500830181873,-0.6203503682375252,0.0,0.0,-1.872583504128704,-1.8761560619196902,-0.6173081544661857,0.0,0.0,180
1.7950944319636442,1.7844956953837412,-0.6355202005341194,0.0,0.0,-1.881420182454432,-1.8848115728616677,-0.611007337330649,0.0,0.0,180
1.7888401011964432,1.7783750360319497,-0.6248261907968133,0.0,0.0,-1.88722529960272,-1.8907052137053226,-0.615592334950439,0.0,0.0,180
1.7915301359350246,1.7811021458636016,-0.6218233324588547,0.0,0.0,-1.8806891677024251,-1.8842208014728354,-0.6167925218937725,0.0,0.0,180
1.7858810629840054,1.7753938212929012,-0.6266326499575301,0.0,0.0,-1.8893323421232098,-1.8929638048090156,-0.622264229283903,0.0,0.0,180
1.7767685703070624,1.7663807017624962,-0.618738316681644,0.0,0.0,-1.8985990291265895,-1.902171437136454,-0.621154200881059,0.0,0.0,180
1.7531971409102467,1.742664579696755,-0.6305305566238867,0.0,0.0,-1.92964565565299,-1.9326143879323816,-0.6005801807150981,0.0,0.0,180
1.7042721341023077,1.6940916082217063,-0.6029540191120576,0.0,0.0,-1.9834612416610118,-1.985843121871898,-0.5844574774099067,0.0,0.0,180
1.65316147406927,1.6431713191591313,-0.5885337153604676,0.0,0.0,-2.0275156306863553,-2.0297324165151425,-0.5843955219955631,0.0,0.0,180
1.6203430502585838,1.6101392723110877,-0.6057631415308076,0.0,0.0,-2.0597877819440624,-2.0623343343784732,-0.6026109384390123,0.0,0.0,180
1.610961554107783,1.6007226432504653,-0.6086265857682338,0.0,0.0,-2.061271311881958,-2.063969781255456,-0.608978686031431,0.0,0.0,180
1.6191661600604534,1.6088273876673413,-0.6163771359614014,0.0,0.0,-2.0500695858291498,-2.0528820837690627,-0.6119728717304034,0.0,0.0,180
